question,prob,outcome
Bay Area lockdown (eg restaurants closed) will be extended beyond June 15,0.6,1
…until Election Day,0.1,1
3. Fewer than 100000 US coronavirus deaths,0.1,0
4. Fewer than 300000 US coronavirus deaths,0.5,0
Fewer than 3 million US coronavirus deaths,0.9,1
US has highest official death toll of any country,0.8,1
US has highest death toll as per expert guesses of real numbers,0.7,1
NYC widely considered worst-hit US city,0.9,1
9. China’s (official) case number goes from its current 82000 to 100000 by the end of the year,0.7,0
A coronavirus vaccine has been approved for general use and given to at least 10000 people somewhere in the First World,0.5,1
11. Best scientific consensus ends up being that hydroxychloroquine was significantly effective,0.2,0
12. I personally will get coronavirus (as per my best guess if I had it; positive test not needed),0.3,0
13. Someone I am close to (housemate or close family member) will get coronavirus,0.6,0
14. General consensus is that we (April 2020 US) were overreacting,0.5,0
15. General consensus is that we (April 2020 US) were underreacting,0.2,0
General consensus is that summer made coronavirus significantly less dangerous,0.7,1
…and there is a catastrophic (50K+ US deaths or more major lockdowns after at least a month without these things) second wave in autumn,0.3,1
18. I personally am back to working not-at-home,0.9,0
19. At least half of states send every voter a mail-in ballot in 2020 presidential election,0.2,0
PredictIt is uncertain (less than 95% sure) who won the presidential election for more than 24 hours after Election Day,0.2,1
Democrats nominate Biden and he remains nominee on Election Day,0.9,1
Balance of evidence available on Election Day supports (as per my opinion) Tara Reade accusation,0.9,1
Conditional on me asking about Reade on SSC survey average survey-taker’s credence in her accusation is greater than 50%,0.7,NA
…greater than 75%,0.1,NA
…greater than credence in Kavanaugh accusation asked in the same format,0.4,NA
26. Trump is re-elected President,0.5,0
Democrats keep the House,0.7,1
Republicans keep the Senate,0.5,NA
29. Trump approval rating higher than 43% on June 1,0.3,0
Biden polling higher than Trump on June 1,0.7,1
At least one new Supreme Court Justice,0.2,1
I vote Democrat for President,0.8,1
Boris still UK PM,0.9,1
No new state leaves EU,0.9,1
UK EU extend “transition” trade deal,0.8,1
Kim Jong-Un alive and in power,0.6,1
Dow is above 25000,0.7,1
…above 30000,0.2,1
Bitcoin is above $5000,0.7,1
…above $10000,0.2,1
41. I have bought a Surface Book 3 laptop,0.6,0
Crew Dragon reaches orbit,0.8,1
43. Starship reaches orbit:,0.4,0
I do another Nootropics Survey this year,0.7,1
45. I do another SSC Survey this year,0.9,0
46. I start a Reader SSC Survey this year,0.6,0
I start a SSC Book Review Contest this year,0.7,1
I run another Adversarial Collaboration Contest this year,0.1,1
49. I publish [redacted],0.2,0
50. I publish [redacted],0.5,0
51. I publish [redacted],0.6,0
I publish Studies On Slack,0.8,1
53. …conditional on being published it gets at least 40000 pageviews,0.1,0
54. I publish [redacted],0.6,0
…conditional on being published it gets at least 40000 pageviews,0.5,NA
56. More hits this year than last,0.7,0
57. Most hits ever this year,0.2,0
I finish Unsong revision this year,0.4,1
59. New co-blogger with more than 3 posts,0.1,0
No new long-term (1 month +) residents at group house by the end of the year,0.7,1
61. Koios has said his first clear comprehensible word,0.5,0
62. [redacted] still lives here at the end of the year,0.4,0
[redacted] still lives here at the end of the year,0.6,1
[redacted] still lives here at the end of the year,0.8,1
[redacted] still lives here at the end of the year,0.8,1
I still live here at the end of the year,0.95,1
[redacted],0.1,1
68. Quarantine has lifted enough to restart regular D&D game,0.95,0
69. [redacted] and [redacted] are still dating,0.8,0
70. [redacted] and [redacted] are still dating,0.8,0
71. [redacted],0.5,0
I’ve gotten at least one new patient to do a full wake therapy protocol,0.6,1
 I have specific set-in-motion plans to quit work / start my own business,0.05,1
74. I work the same schedule and locations I did before the coronavirus,0.8,0
75. I get a bonus for 2020,0.2,0
[redacted],0.7,1
[redacted],0.7,1
[redacted],0.95,1
79. I travel to Alaska this year,0.6,0
80. [redacted],0.4,0
81. [redacted],0.2,0
82. I go on at least three dates with someone I haven’t met yet,0.2,0
83. [redacted],0.1,0
[redacted],0.3,1
85. [redacted],0.1,0
I try one biohacking project per month x at least 5 of the last 6 months of 2020,0.3,1
87. I find at least one new supplement I take or expect to take regularly x 3 months,0.2,0
Not eating meat at home,0.4,1
Weight below 200,0.5,1
90. Weight below 190,0.1,0
[redacted],0.9,1
92. [redacted],0.3,0
93. [redacted],0.05,0
94. I travel outside the country at least once,0.1,0
95. I get back into meditating seriously (at least ten minutes a day five days a week) for at least a month,0.1,0
At least ten tweets in 2020,0.8,1
97. I eat at/from Sliver more than any other restaurant in Q4 2020,0.5,0
98. [redacted],0.3,0
 I do pushups and situps at least 3 days/week in average week of Q4 2020,0.6,1
100. I write the post scoring these predictions before 2/1/21,0.7,0