New York Yankees,8.52,NYY
Boston Red Sox,5.25,BOS
Chicago Cubs,3.43,CUB
Los Angeles Dodgers,3.41,LAD
San Francisco Giants,2.97,SFO
St. Louis Cardinals,2.4,STL
Detroit Tigers,2.33,DET
Texas Rangers,2.32,TEX
Atlanta Braves,2.25,ATL
Toronto Blue Jays,1.73,TOR
Philadelphia Phillies,1.69,PHI
Chicago White Sox,1.64,CWS
New York Mets,1.52,NYM
Houston Astros,1.42,HOU
Cleveland Guardians,1.36,CLE
Los Angeles Angels,1.33,LAA
Kansas City Royals,1.25,KAN
Cincinnati Reds,1.25,CIN
Baltimore Orioles,1.24,BAL
Seattle Mariners,1.22,SEA
Minnesota Twins,1.21,MIN
Pittsburgh Pirates,1.18,PIT
Milwaukee Brewers,1.11,MIL
Colorado Rockies,0.93,COL
Oakland Athletics,0.81,OAK
Arizona Diamondbacks,0.77,ARI
San Diego Padres,0.75,SDG
Washington Nationals,0.73,WAS
Tampa Bay Rays,0.73,TAM
Miami Marlins,0.72,MIA